year,player,pos,pos_pts,tot_pts
2014,Andre Drummond,center,1,1
2014,Andre Iguodala,forward,76,148
2014,Andrew Bogut,center,4,4
2014,Anthony Davis,forward,54,62
2014,Arron Afflalo,guard,1,1
2014,Avery Bradley,guard,5,5
2014,Chris Bosh,forward,4,4
2014,Chris Paul,guard,156,156
2014,Corey Brewer,forward,1,1
2014,Danny Granger,forward,1,1
2014,Danny Green,guard,3,3
2014,Darren Collison,guard,1,1
2014,David Lee,forward,1,1
2014,David West,forward,2,2
2014,DeAndre Jordan,center,63,63
2014,DeMar DeRozan,guard,1,1
2014,DeMarre Carroll,forward,2,2
2014,Draymond Green,forward,1,1
2014,Dwight Howard,center,18,26
2014,Dwyane Wade,guard,2,2
2014,Eric Bledsoe,guard,9,9
2014,George Hill,guard,2,2
2014,James Harden,guard,2,2
2014,Jeff Teague,guard,2,2
2014,Jimmy Butler,guard,99,103
2014,Joakim Noah,center,184,223
2014,John Wall,guard,8,8
2014,Kawhi Leonard,forward,66,89
2014,Kemba Walker,guard,2,2
2014,Kevin Durant,forward,9,10
2014,Kirk Hinrich,guard,7,7
2014,Klay Thompson,guard,5,5
2014,Kyle Lowry,guard,10,10
2014,Lance Stephenson,guard,13,14
2014,LeBron James,forward,128,134
2014,Luol Deng,forward,4,4
2014,Marc Gasol,center,8,8
2014,Matt Barnes,guard,2,2
2014,Michael Carter-Williams,guard,1,1
2014,Michael Kidd-Gilchrist,forward,3,3
2014,Mike Conley,guard,21,21
2014,Monta Ellis,guard,1,1
2014,Nicolas Batum,forward,2,3
2014,P.J. Tucker,forward,7,13
2014,Patrick Beverley,guard,110,112
2014,Paul George,forward,106,161
2014,Paul Millsap,forward,1,1
2014,Rajon Rondo,guard,1,1
2014,Reggie Jackson,guard,1,1
2014,Ricky Rubio,guard,19,19
2014,Roy Hibbert,center,76,76
2014,Russell Westbrook,guard,5,5
2014,Serge Ibaka,forward,148,152
2014,Shaun Livingston,guard,3,3
2014,Stephen Curry,guard,3,3
2014,Taj Gibson,forward,21,21
2014,Thabo Sefolosha,guard,8,8
2014,Tim Duncan,forward,42,45
2014,Tony Allen,guard,60,60
2014,Tony Parker,guard,4,4
2014,Trevor Ariza,forward,5,5
2014,Victor Oladipo,guard,3,3
2014,Wesley Matthews,guard,4,4
2015,Al Horford,forward,1,1
2015,Andre Drummond,center,1,1
2015,Andre Iguodala,forward,5,8
